Player.Name,Salary,Position,Age,Team,GP,MP,FGA,FG.,TRB,AST,PTS,Total.Minutes,PER,TS.,FTr,TRB.,AST.,USG.,WS,OBPM,DBPM,BPM,VORP
Keldon Johnson,3873024,SF,23,SAS,63,32.7,17.7,0.452,5,2.9,22,2063,15.3,0.551,0.294,8.4,13.7,27.9,1.3,0.7,-2.5,-1.8,0.1
James Johnson,3841067,PF,35,IND,18,9,2.7,0.449,1.7,0.8,2.8,162,8.4,0.486,0.163,10.3,12.6,15.7,0.1,-5.7,1.2,-4.4,-0.1
Aaron Nesmith,3804360,SF,23,IND,73,24.9,8.1,0.427,3.8,1.3,10.1,1816,10.5,0.566,0.241,8.5,7.4,16.8,2,-2.3,-0.7,-3,-0.4
Moses Moody,3740160,SG,20,GSW,63,13,3.6,0.476,1.7,0.8,4.8,817,10.3,0.603,0.233,7.1,8.2,14.6,1.3,-1.7,-0.9,-2.6,-0.1
Mark Williams,3722040,C,21,CHO,43,19.3,5.8,0.637,7.1,0.4,9,828,19.8,0.659,0.386,19.6,3.3,17,2.8,-0.5,0.6,0.1,0.4
Cole Anthony,3613680,PG,22,ORL,60,25.9,10.2,0.454,4.8,3.9,13,1552,16,0.57,0.279,10.5,22.9,21.5,3.7,0.7,0.5,1.3,1.3
Corey Kispert,3552840,SF,23,WAS,74,28.3,7.9,0.497,2.8,1.2,11.1,2093,11.5,0.657,0.15,5.5,5.7,14.1,3.8,-0.1,-1.4,-1.5,0.2
AJ Griffin,3536160,SF,19,ATL,72,19.5,7.4,0.465,2.1,1,8.9,1401,12.6,0.577,0.088,6,7,17.9,2.2,-0.3,-0.5,-0.8,0.4
Mike Muscala,3500000,C,31,BOS/OKC,63,15,4.6,0.449,3.2,0.8,6.1,945,13,0.608,0.178,11.6,7.1,15.1,2.5,-0.3,-0.1,-0.4,0.4
Georges Niang,3465000,PF,29,PHI,78,19.4,6.4,0.442,2.4,1,8.2,1512,10.9,0.61,0.09,7.2,7.3,17,2.5,-0.4,-1,-1.4,0.2
Isaiah Stewart,3433320,C,21,DET,50,28.3,8.8,0.442,8.1,1.4,11.3,1414,13.1,0.56,0.338,15.8,7.3,17.3,2,-1,-1.1,-2.1,0
Chuma Okeke,3433320,SF,24,ORL,27,19.2,4.5,0.352,3.6,1.4,4.7,518,9.1,0.488,0.172,10.5,9.4,12.3,0.7,-2.4,0.8,-1.6,0.1
Amir Coffey,3395062,SF,25,LAC,50,12.5,2.9,0.386,1.1,1.1,3.4,625,7,0.498,0.434,4.7,11.2,13.5,0.4,-4.3,-0.7,-5,-0.5
Tari Eason,3359160,PF,21,HOU,82,21.5,8,0.448,6,1.1,9.3,1767,15.2,0.525,0.22,15.4,7.4,19.3,2.6,-1.3,-0.4,-1.7,0.1
Aleksej Pokusevski,3261480,PF,21,OKC,34,20.6,7.3,0.434,4.7,1.9,8.1,701,13.4,0.522,0.141,12.2,12.4,18.3,1,-1,1,0,0.3
Simone Fontecchio,3205128,SF,27,UTA,52,14.7,6,0.369,1.7,0.8,6.3,766,8,0.495,0.141,6.1,7.5,20.2,-0.1,-3,-2.1,-5.2,-0.6
Andre Drummond,3200000,C,29,CHI,67,12.7,4.1,0.606,6.6,0.5,6,849,20.8,0.606,0.456,29.6,5.7,21,2.8,-1.2,0.5,-0.8,0.3
Dalen Terry,3191400,SG,20,CHI,38,5.6,1.9,0.444,1,0.6,2.2,214,14.1,0.523,0.292,9.8,14.1,18.4,0.5,-1.7,1.7,0,0.1
Josh Green,3098400,SG,22,DAL,60,25.7,6.4,0.537,3,1.7,9.1,1539,11.2,0.645,0.246,6.9,9.7,14.6,2.6,-1.9,-0.6,-2.4,-0.2
Jake LaRavia,3047640,PF,21,MEM,35,11.8,2.7,0.389,1.8,0.6,3,414,6.7,0.531,0.095,8.1,6.2,11.7,0.5,-3.9,0.4,-3.5,-0.2
Tre Mann,3046200,PG,21,OKC,67,17.7,7.5,0.393,2.3,1.8,7.7,1183,10,0.492,0.11,7,14,20.7,0.5,-3,-1,-3.9,-0.6
Kevin Knox,3000000,SF-PF,23,DET/POR,63,15.1,5.3,0.458,2.8,0.5,6.6,952,11.1,0.579,0.181,10.5,5.2,18.4,0.7,-2.1,-1.4,-3.5,-0.4
Saddiq Bey,2959080,SF,23,DET/ATL,77,27.6,10.9,0.422,4.7,1.5,13.8,2129,14.6,0.564,0.285,9.4,8.1,20.2,3.9,0.9,-1.2,-0.3,0.9
Malaki Branham,2925600,SG,19,SAS,66,23.5,9.3,0.44,2.7,1.9,10.2,1550,9.5,0.524,0.115,6.4,11.4,19.1,-0.1,-3,-2.1,-5.2,-1.3
Joe Wieskamp,2909261,SF,23,TOR,9,5.6,1.6,0.214,0.4,0.3,1,50,-0.4,0.321,0,4.5,7.4,12.8,-0.1,-7,-3.6,-10.6,-0.1
Kai Jones,2909040,C,22,CHO,46,12,2.6,0.558,2.7,0.3,3.4,550,10.8,0.597,0.217,11.9,3.7,12.4,0.7,-4.8,0.8,-4,-0.3
